time,0,1,2,3,4,5
1772583042,10,15,1500,1500,1500,1500
1772583044,10,15,1500,1500,1500,1500
1772583046,10,15,1500,1500,1500,1500
1772583048,10,15,1500,1500,1500,1500
1772583050,10,15,1500,1500,1500,1500
1772583052,10,15,1500,1500,1500,1500
1772583054,10,15,1500,1500,1500,1500
1772583056,10,15,1500,1500,1500,1500
1772583058,10,15,1500,1500,1500,1500
1772583060,10,15,1500,1500,1500,1500
1772583062,10,15,1500,1500,1500,1500
1772583064,10,15,1500,1500,1500,1500
1772583066,10,15,1500,1500,1500,1500
1772583068,10,15,1500,1500,1500,1500
1772583070,10,15,1500,1500,1500,1500
1772583072,10,15,1500,1500,1500,1500
1772583074,10,15,1500,1500,1500,1500
1772583076,10,15,1500,1500,1500,1500
1772583078,10,15,1500,1500,1500,1500
1772583081,10,15,1500,1500,1500,1500
1772583083,10,15,1500,1500,1500,1500
1772583085,10,15,1500,1500,1500,1500
1772583087,10,15,1500,1500,1500,1500
1772583089,10,15,1500,1500,1500,1500
1772583091,10,15,1500,1500,1500,1500
1772583093,10,15,1500,1500,1500,1500
1772583095,10,15,1500,1500,1500,1500
1772583097,10,15,1500,1500,1500,1500
1772583099,10,15,1500,1500,1500,1500
1772583101,10,15,1500,1500,1500,1500
1772583103,10,15,1500,1500,1500,1500
1772583105,10,15,1500,1500,1500,1500
1772583107,10,15,1500,1500,1500,1500
1772583109,10,15,1500,1500,1500,1500
1772583111,10,15,1500,1500,1500,1500
1772583113,10,15,1500,1500,1500,1500
1772583115,10,15,1500,1500,1500,1500
1772583117,10,15,1500,1500,1500,1500
1772583119,10,15,1500,1500,1500,1500
1772583121,10,15,1500,1500,1500,1500
1772583123,10,15,1500,1500,1500,1500
1772583125,10,15,1500,1500,1500,1500
1772583127,10,15,1500,1500,1500,1500
1772583129,10,15,1500,1500,1500,1500
1772583131,10,15,1500,1500,1500,1500
1772583133,10,15,1500,1500,1500,1500
1772583135,10,15,1500,1500,1500,1500
