DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
c83_Vrms.o1,A,3,_b0dea0b1-e522-424b-a7c5-47309b863ced,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c83_Vrms.o2,B,4,_25fe66d9-49d8-409b-acaa-79e4d6191c9c,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c83_Vrms.o3,C,5,_ac9dd43e-9177-445a-b01b-9e0e474fe7cc,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c88a_Vrms.o1,A,6,_a820d293-e7e2-417c-9726-11062202f93f,_CABBC3A1-66F5-4B9C-ACB9-476E2389D119,DNP3 Slave
c90b_Vrms.o2,B,7,_5774b6e4-f25e-4074-9748-0123d88af8d9,_3DE55D2D-34D3-487E-9D6E-3A4DB1E38E47,DNP3 Slave
c92c_Vrms.o3,C,8,_8deaf984-92ab-4a6a-be85-fc5cbbd1cda5,_939CA567-AA3D-4972-AABC-1D0AAF4859FE,DNP3 Slave
l1_Vrms.o2,B,9,_bd86e1e7-b891-43b5-a9da-fa80cc941fbe,_EA408DC0-D30B-41FC-B34E-3D1398982845,DNP3 Slave
l10_Vrms.o1,A,10,_2cc97ac3-e5ad-4d21-bdaf-b3b33f682c54,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l10_Vrms.o2,B,11,_eed5dc77-5055-4a5e-a917-8afcf47dd4b9,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l10_Vrms.o3,C,12,_d3547d58-6461-4071-90e2-361f0c75c0b6,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l100_Vrms.o3,C,13,_5291bbb6-b5b2-4ce4-8021-e247ed72fd87,_AE225462-4275-4773-AEEB-81E3406BE035,DNP3 Slave
l101_Vrms.o1,A,14,_c48f63ef-6829-4fee-8146-2f895cb306e3,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l101_Vrms.o2,B,15,_4401cd8e-da8b-499d-b9f9-3d52035464bd,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l101_Vrms.o3,C,16,_7fc45b78-2d36-4317-89e6-6bf718a85054,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l102_Vrms.o3,C,17,_2e863fee-f2f9-46d4-96de-6dc21d4aaecd,_E639BBE3-0E28-49B8-B190-FE36BCE80048,DNP3 Slave
l103_Vrms.o3,C,18,_7990f739-da9e-4f42-9d3a-838b695726f4,_BDE76F98-BA29-430F-B188-0BFE9856031B,DNP3 Slave
l104_Vrms.o2,B,19,_325c93d9-ff03-4c99-ac6a-293e025ef560,_CBEF1086-8A4C-4749-B3FE-F229712F04A4,DNP3 Slave
l105_Vrms.o1,A,20,_0e6421af-50c6-437d-9bb1-d3524453a2b8,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l105_Vrms.o2,B,21,_a9484ca7-81c6-48d6-8a8c-c5cb5f72320b,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l105_Vrms.o3,C,22,_aca73990-eddf-4bd1-a99d-1ae6110f3479,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l106_Vrms.o2,B,23,_2c3c01ee-296f-4201-9554-1e89bb4170cc,_E430E71C-E0BD-44AB-8902-A7E5A91B991A,DNP3 Slave
l107_Vrms.o1,A,24,_7c782554-8e5a-4e70-b629-cb54cba2118a,_DD1EC92E-9A10-4711-9A45-CAA34A8A636A,DNP3 Slave
l109_Vrms.o1,A,25,_28622728-83e6-4c14-b234-7fa32405d489,_2E76BEC1-7DD0-4BF4-B8E1-29CD59E48470,DNP3 Slave
l11_Vrms.o1,A,26,_ee439b51-40c0-4872-9c1c-21f570e46fc4,_45E1CC00-7B26-4B06-AD1A-310D028BA4C0,DNP3 Slave
l110_Vrms.o1,A,27,_44ad88f7-b764-4f25-9099-0b52d6850173,_43DACF06-4C1A-49FE-94C0-199EB5EB8AFC,DNP3 Slave
l111_Vrms.o1,A,28,_e0f54b2f-3901-4bcf-b91a-f893d8398902,_6AA0C193-C56A-4150-9321-2D6D70FAB1AC,DNP3 Slave
l112_Vrms.o1,A,29,_c58297b1-4916-4f2e-b771-fffffdcdcc89,_1B83BC1F-8E9D-437B-AF13-D8AC4E2C508C,DNP3 Slave
l113_Vrms.o1,A,30,_569d1d6a-34a8-42a7-a3ad-ca35982ac096,_E07C6490-86FB-44A6-A908-C6E26EC605A4,DNP3 Slave
l114_Vrms.o1,A,31,_2942b80a-c49b-4158-bc1a-9917dab575d4,_D9683AB9-88C5-4C8F-AC66-FEBFCF729E4E,DNP3 Slave
