DNP3point,phase,Index,Measurement mRID,ConductingEquipment,Device Name
c83_Vrms.o1,A,3,_3bf31a65-6554-4a8c-86f2-52fbbbb1ecb9,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c83_Vrms.o2,B,4,_43f8a657-793e-4f66-94ea-fca90f8e90df,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c83_Vrms.o3,C,5,_b52146d9-65c0-4a01-ba93-202c6763f13c,_D6C44FF1-BC60-49D3-9438-DFAD1AED0A28,DNP3 Slave
c88a_Vrms.o1,A,6,_c2300168-c15c-4203-83da-a5eb737b2947,_CABBC3A1-66F5-4B9C-ACB9-476E2389D119,DNP3 Slave
c90b_Vrms.o2,B,7,_e302d534-9a09-461c-b541-a6ec77ec8f5c,_3DE55D2D-34D3-487E-9D6E-3A4DB1E38E47,DNP3 Slave
c92c_Vrms.o3,C,8,_e32c2553-ac03-4c85-b3d3-64256ad41894,_939CA567-AA3D-4972-AABC-1D0AAF4859FE,DNP3 Slave
l1_Vrms.o2,B,9,_3e655536-3777-4a1b-bdea-4226b902876e,_EA408DC0-D30B-41FC-B34E-3D1398982845,DNP3 Slave
l10_Vrms.o1,A,10,_162dcb06-65ea-4e26-8b6e-655e643258a4,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l10_Vrms.o2,B,11,_0d039fd5-b67b-40fb-9aad-df54a512d606,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l10_Vrms.o3,C,12,_11de19e6-39ee-45d9-9ebe-d99d56153aa2,_1DB1071C-0119-41EE-8604-CAC7A7B65066,DNP3 Slave
l100_Vrms.o3,C,13,_d0ee251a-9b4c-4bab-ade8-385aa3540cda,_AE225462-4275-4773-AEEB-81E3406BE035,DNP3 Slave
l101_Vrms.o1,A,14,_4bcab293-4379-4be8-ab7d-d038a078f12a,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l101_Vrms.o2,B,15,_fefc2714-08de-446e-b378-dbec7c9fe085,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l101_Vrms.o3,C,16,_c89c30af-5cf5-47aa-ba83-62e2aa458833,_C433B201-8F0D-406A-86F8-6BC477565381,DNP3 Slave
l102_Vrms.o3,C,17,_c5dc1b5b-2fba-411b-8042-1c3f9c16e70a,_E639BBE3-0E28-49B8-B190-FE36BCE80048,DNP3 Slave
l103_Vrms.o3,C,18,_d0b7a8e0-ce68-4fc7-97c9-63405aa06662,_BDE76F98-BA29-430F-B188-0BFE9856031B,DNP3 Slave
l104_Vrms.o2,B,19,_e33b7a06-73b7-428f-9925-cccd01bdb70a,_CBEF1086-8A4C-4749-B3FE-F229712F04A4,DNP3 Slave
l105_Vrms.o1,A,20,_87057e55-6f95-40e3-964c-e7700ad0a139,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l105_Vrms.o2,B,21,_f7ec35c1-e44a-4e73-8080-e8bd8e2f322c,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l105_Vrms.o3,C,22,_e756862b-ba85-4eeb-9f67-1fa48471c3f7,_3E7E591F-558B-4DEF-A9E7-C4756B84E9EE,DNP3 Slave
l106_Vrms.o2,B,23,_046a9afd-f2f7-444e-911b-d34b2c7d320e,_E430E71C-E0BD-44AB-8902-A7E5A91B991A,DNP3 Slave
l107_Vrms.o1,A,24,_684f7a5c-38ca-4c20-90f4-2b1cc1d90af5,_DD1EC92E-9A10-4711-9A45-CAA34A8A636A,DNP3 Slave
l109_Vrms.o1,A,25,_b040b5c6-f01d-459b-88eb-838251d42cc5,_2E76BEC1-7DD0-4BF4-B8E1-29CD59E48470,DNP3 Slave
l11_Vrms.o1,A,26,_97c65420-24f7-40e9-a102-8314a643d507,_45E1CC00-7B26-4B06-AD1A-310D028BA4C0,DNP3 Slave
l110_Vrms.o1,A,27,_4dc37e9b-5085-4006-a153-340676c03d19,_43DACF06-4C1A-49FE-94C0-199EB5EB8AFC,DNP3 Slave
l111_Vrms.o1,A,28,_e51556f6-3c33-4ed3-98e9-4bc91dd97838,_6AA0C193-C56A-4150-9321-2D6D70FAB1AC,DNP3 Slave
l112_Vrms.o1,A,29,_1207ba28-386a-4b2c-9569-e2e29a814b5b,_1B83BC1F-8E9D-437B-AF13-D8AC4E2C508C,DNP3 Slave
l113_Vrms.o1,A,30,_a59b4408-70e7-4ee0-be13-95a737d96215,_E07C6490-86FB-44A6-A908-C6E26EC605A4,DNP3 Slave
